cell id,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21
1,9,11,11,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,5,3,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,9,6,6,6,5,1,1,0,0,0,0,0,0,1,1,1,2,0,0,0,0
5,9,6,4,8,12,10,14,19,15,10,8,0,0,0,0,0,0,0,0,0,0
6,3,2,1,0,4,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
7,12,9,6,6,4,2,2,3,0,0,0,1,1,1,0,0,0,0,1,3,3
8,8,7,5,3,5,6,9,5,3,6,14,15,15,13,12,13,13,0,0,0,0
9,6,11,13,8,7,7,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0
10,5,5,9,9,11,6,7,4,1,1,1,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
