cell id,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21
1,4,2,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,1,0,1,0,0,1,2,1,1,0,0,0,0,0,0,1,2,0,0
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,6,4,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,3,3,7,8,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
6,17,14,11,10,11,3,2,1,0,1,1,2,1,0,1,0,0,0,1,0,0
7,11,9,6,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
8,8,3,2,3,7,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,8,8,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
11,20,18,13,11,7,1,0,0,1,0,0,2,0,0,0,1,3,0,0,0,0
12,4,2,8,3,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
