cell,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21
3,4445.0,4377.0,18472.0,10643.0,9066.0,5438.0,7306.0,5354.0,4578.0,4169.0,4214.0,7559.0,6375.0,4832.0,7008.0,22059.0,15037.0,17450.0,12992.0,17820.0,27813.0
2,3119.0,3410.0,3242.0,3377.0,3153.0,6755.0,12499.0,5692.0,3463.0,11519.0,5291.0,4244.0,3911.0,3295.0,3488.0,3388.0,4439.0,3110.0,3065.0,3336.0,11765.0
4,7715.0,4237.0,4193.0,4050.0,3897.0,7112.0,6147.0,4408.0,4072.0,3781.0,9628.0,5144.0,7715.0,5528.0,4283.0,4075.0,3909.0,29008.0,19893.0,13232.0,5055.0
6,2005.0,1898.0,1773.0,1875.0,2060.0,1786.0,1867.0,1888.0,1911.0,3557.0,1877.0,1662.0,1823.0,1776.0,1929.0,1629.0,1917.0,1589.0,3332.0,3408.0,8819.0
7,733.0,768.0,1389.0,3197.0,1355.0,663.0,712.0,818.0,782.0,693.0,881.0,764.0,808.0,697.0,711.0,787.0,699.0,663.0,731.0,753.0,722.0
8,12603.0,6848.000000000001,11403.0,9145.0,6887.0,4971.0,4421.0,4365.0,16091.0,6613.0,17867.0,9400.0,17399.0,8159.0,5681.0,4671.0,4574.0,10958.000000000002,15472.000000000002,13456.0,11344.0
9,9714.0,4798.0,3261.0,10682.0,5085.0,4034.0,3214.0,3347.0,3829.0,3121.0,2872.9999999999995,9736.0,12944.0,8391.0,5617.0,4949.0,3623.0,3329.0,2788.0,2575.0,2653.0
9,2550.0,13223.0,6609.0,2944.0,2494.0,2343.0,2011.0,2335.0,2432.0,2545.0000000000005,2160.0,2313.0,2410.0,2335.0,2256.0,2659.0,5449.0,2918.0,2188.0,7436.999999999999,3654.0
10,1927.0,1795.0,8282.0,8646.0,2656.0,1747.0,1864.0,1661.0,1952.0,1583.0,1759.0,1804.0,1849.0,2010.9999999999998,1884.0,1759.0,1847.0,1800.0,1768.0,1761.0,4630.0
10,5518.0,4909.0,4978.0,5216.0,4903.0,3961.0,9813.0,4316.0,3626.0,3882.0,3801.0,3950.0,4076.0,3836.0,3659.0,3895.0,6780.0,25511.0,13535.0,13361.0,5430.0
