cell id,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21
1,11,7,2,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,2,0,0,0,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0
4,7,8,7,1,0,0,0,0,0,0,0,0,4,4,4,2,0,0,0,0,2
5,7,6,10,5,7,13,14,13,7,5,1,0,0,0,0,0,0,0,0,0,0
6,2,0,0,0,5,5,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0
7,6,4,2,1,1,1,1,3,4,4,3,0,0,0,0,0,0,0,4,4,7
8,5,3,1,5,4,7,5,2,7,8,9,5,5,10,9,9,9,0,0,0,0
9,8,9,4,4,2,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
10,7,6,8,4,7,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
