cell,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21
1,5124.0,19271.0,10634.0,32138.0,29231.0,32444.0,17941.0,11601.0,15611.0,9187.0,7102.0,7224.0,7622.0,5712.0,5035.999999999999,6439.0,4441.0,4666.0,4730.0,4197.0,4573.0
1,3997.9999999999995,3419.0,3033.0,3370.0000000000005,3947.9999999999995,3870.0000000000005,2833.0,2861.0,2928.0,17829.0,7028.0,6809.0,15878.0,8305.0,16975.0,9031.0,4993.0,4109.0,3708.0,3178.0,3304.0
2,1776.0,1846.0,1700.0,5955.0,5603.0,4664.0,2797.0,1452.0,1627.0,4742.0,3327.0,2117.0,1511.0,1633.0,1551.0,1809.0,1629.0,1522.0,1421.0,1626.0,1450.0
3,15462.0,8207.0,4855.0,16727.0,24997.0,11438.0,6932.0,21118.0,16837.0,9148.0,7222.0,3954.0,4063.0,3703.0,5509.0,6156.0,4694.0,3951.0,3858.0,3745.0,5199.0
4,3155.0,2702.0,2022.0,14178.0,8637.0,5423.0,3785.0,3044.9999999999995,1940.0,2191.0,2163.0,2150.0,2111.0,2023.0,2287.0,2620.0,2125.0,2051.0,2342.0,2024.0,2250.0
5,10342.0,6713.999999999999,4158.0,3496.0,5710.0,9830.0,6130.0,6052.0,9979.0,6806.000000000001,19455.0,9864.0,3960.0,2966.0,2844.0,2952.0,3040.0,2854.0,2838.0,2514.0,3205.0000000000005
4,2516.0,2717.0,2452.0,3397.0,3094.0,15600.0,4350.0,3177.0,2618.0,2633.0,2649.0,2650.0,2730.0,2569.0,2663.0,7604.0,7226.0,3657.0,15950.0,7230.0,4676.0
6,8606.0,12560.0,10292.0,19897.0,12113.0,7477.0,12642.0,9211.0,9858.0,31596.000000000004,23295.0,10594.0,10889.0,8655.0,7571.0,10979.0,37225.0,30284.0,24714.0,13690.0,11072.0
7,2289.0,2330.0,2125.0,2122.0,2103.0,2322.0,2110.0,2115.0,2404.0,2208.0,3975.0,3148.0,13825.0,6254.0,3550.0,2692.0,3197.0,3108.0,8634.0,4396.0,2399.0
7,11372.0,8499.0,4204.0,4526.0,4026.0,4282.0,3786.0,4065.0,4048.0,4107.0,8574.0,6027.0,4270.0,4727.0,6077.0,3901.0,19236.0,9390.0,28206.0,17480.000000000004,7450.0
9,698.0,755.0,717.0,703.0,685.0,850.0,768.0,772.0,914.0,3426.0,1325.0,1095.0,776.0,734.0,708.0,890.0,1134.0,853.9999999999999,1344.0,1040.0,1579.0
8,6077.0,21808.0,18523.0,10541.0,14411.0,20443.0,13084.0,28504.000000000004,25318.999999999996,14679.0,8213.0,14052.0,12967.0,16780.0,11679.0,22396.0,24315.0,13376.0,19616.0,12105.0,22175.0
9,6678.0,6695.0,6858.0,6924.0,7095.0,6577.0,7944.0,41384.0,40375.0,34523.0,23754.0,10125.0,12297.0,43233.0,28160.0,18813.0,28312.0,23999.0,32184.0,21075.0,43480.0
9,273.0,263.0,282.0,286.0,289.0,242.0,244.0,283.0,321.0,1138.0,586.0,259.0,264.0,281.0,336.0,298.0,395.0,258.0,316.0,252.0,430.0
10,18094.0,8390.0,4943.0,32611.0,25332.0,22466.0,10450.0,7185.0,4579.0,4624.0,4638.0,4469.0,5015.0,4972.0,5043.0,4354.0,10969.0,7974.0,5898.0,6101.0,4721.0
11,2521.0,2490.0,1977.0,2360.0,4862.0,2698.0,3148.0,3623.0,2941.0,2585.0,16451.0,6491.0,5262.0,2496.0,2649.0,2487.0,3708.0000000000005,3121.0,2784.0000000000005,2706.0,2700.0000000000005
11,3081.0,2699.0,12024.0,12866.0,18583.0,12536.0,18137.0,12297.0,5518.0,5362.0,3653.0,2982.0,2761.0,3013.0,2928.0,3099.0,2988.0,2690.0,2850.0,2903.0,2736.0
13,19338.0,9858.0,6784.0,11871.0,5021.0,3870.0,3985.0,4323.0,3970.0,4439.0,3814.0,14785.0,6038.0,7048.0,21600.0,18864.0,10830.0,7072.0,13830.0,14438.0,7631.0
