cell id,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21
1,3,3,3,2,2,1,1,0,1,2,5,11,17,17,16,10,10,7,6,5,6
2,1,0,0,0,1,3,2,1,0,0,0,0,1,2,1,2,1,1,1,0,0
3,6,3,1,1,2,1,4,9,14,9,5,5,2,12,12,11,11,8,5,5,13
4,1,1,1,3,4,7,5,10,14,13,19,20,19,11,9,6,7,8,5,11,17
5,2,6,9,9,8,9,10,10,7,6,8,14,16,15,16,19,15,14,12,7,5
6,1,1,1,1,1,0,0,0,0,1,13,14,17,18,14,15,11,16,22,24,14
7,5,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,0,2,2,2,5,10,20,18,20,17,17,20,27,24,24,20,18,9,9,11
9,1,5,7,10,9,4,14,10,7,3,6,8,8,5,7,7,2,9,13,15,10
10,1,3,3,4,7,10,12,11,10,10,11,8,9,12,13,17,15,13,13,14,9
11,8,7,4,4,3,3,4,4,8,7,4,5,7,9,9,8,6,6,9,7,6
12,5,2,3,7,9,14,14,12,10,11,9,9,10,8,10,7,6,7,7,9,12
13,13,12,12,12,8,9,7,7,12,13,12,7,5,4,4,4,3,2,2,2,10
