cell id,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21
1,6,9,15,12,12,10,7,4,1,2,1,1,3,1,6,6,3,2,0,0,0
2,3,2,4,1,1,2,1,0,0,0,0,0,0,0,0,0,0,5,3,3,1
3,9,7,10,6,11,12,9,11,8,3,2,2,12,13,12,12,9,7,5,4,8
4,0,0,3,2,1,1,1,0,0,0,0,0,0,6,3,6,8,10,10,11,6
5,13,8,4,4,6,4,2,1,1,8,7,6,2,4,12,9,10,20,16,16,15
6,4,4,2,1,6,6,3,2,9,6,5,3,8,6,6,8,6,5,5,5,10
7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,0,6,6,6,5,5,10,10,7,2,0,0,0,0,0,0,0,7,7
9,1,0,0,0,0,0,0,7,5,6,7,13,8,13,13,8,4,4,9,8,9
10,4,1,0,0,4,0,0,0,4,8,5,1,0,0,0,0,6,11,7,6,7
11,13,5,11,9,6,2,14,12,9,9,9,8,9,6,8,4,6,4,6,8,8
12,0,1,10,3,2,3,1,5,5,5,5,5,10,7,8,2,2,6,7,4,2
13,8,6,8,9,10,9,8,7,5,8,10,16,12,6,6,8,8,5,0,0,0
14,3,2,1,1,0,0,3,7,6,2,1,0,0,0,5,4,2,1,0,0,0
